,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,70,0,70.0,JFK,1,"(13, 33)",0,0.0,"(13, 33)",47.090555555555554,1,17,2,3,1431,5,1,24.09055555555556,"[35.090555555555554, 59.090555555555554]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 35.090555555555554 and 59.090555555555554%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,45,0,45.0,IAD,1,"(0, 20)",0,0.0,"(0, 20)",35.53333333333333,2,17,2,2,153,4,1,26.53333333333333,"[23.53333333333333, 47.53333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 23.53333333333333 and 47.53333333333333%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,55,0,55.0,MIA,1,"(5, 25)",0,0.0,"(5, 25)",54.96333333333333,3,17,3,2,440,5,1,39.96333333333333,"[42.96333333333333, 66.96333333333334]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 42.96333333333333 and 66.96333333333334%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,40,0,40.0,DCA,1,"(0, 20)",0,0.0,"(0, 20)",45.973333333333336,4,17,1,2,285,3,1,38.973333333333336,"[33.973333333333336, 57.973333333333336]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 33.973333333333336 and 57.973333333333336%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,43,0,43.0,MCO,0,"(0, 20)",0,0.0,"(0, 20)",50.31666666666667,5,17,3,1,915,4,1,42.31666666666667,"[38.31666666666667, 62.31666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 38.31666666666667 and 62.31666666666667%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,108,0,109.5,DFW,0,"(35, 55)",0,1.5,"(35, 55)",18.871111111111112,6,17,3,3,4010,6,1,-26.128888888888888,"[6.871111111111112, 30.871111111111112]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.871111111111112 and 30.871111111111112%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,20,0,22.142857142857142,ORD,0,"(0, 20)",0,2.142857142857143,"(0, 20)",28.01333333333333,7,17,1,1,887,2,1,30.01333333333333,"[16.01333333333333, 40.01333333333333]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Some T-Storm Impacts,Predicted Departure Delays Between 16.01333333333333 and 40.01333333333333%,No Impacts
7,7,7,7,7,7,1.5600000000000005,0,0.0,127,0,128.56,BOS,1,"(45, 65)",0,0.0,"(45, 65)",27.16253968253968,8,17,3,4,1765,7,1,-27.83746031746032,"[15.16253968253968, 39.16253968253968]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 15.16253968253968 and 39.16253968253968%,
8,8,8,8,8,8,0.6933333333333334,0,0.0,50,0,50.693333333333335,PIT,1,"(2, 22)",0,0.0,"(2, 22)",24.55,9,17,3,2,440,5,1,12.55,"[12.55, 36.55]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.55 and 36.55%,
9,9,9,9,9,9,0.0,0,0.0,50,0,52.25,ATL,0,"(3, 23)",0,2.25,"(3, 23)",15.846666666666668,10,17,4,2,240,6,1,2.8466666666666667,"[3.8466666666666676, 27.846666666666668]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 3.8466666666666676 and 27.846666666666668%,No Impacts
10,10,10,10,10,10,0.0,0,0.0,35,0,35.0,JAX,1,"(0, 20)",0,0.0,"(0, 20)",16.32,11,17,3,1,915,4,1,12.32,"[4.32, 28.32]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 4.32 and 28.32%,No Impacts
11,11,11,11,11,11,0.0,0,0.0,85,0,85.0,STL,1,"(21, 41)",0,0.0,"(21, 41)",9.0924000999001,12,17,2,5,421,7,1,-21.9075999000999,"[0, 24]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0 and 24%,No Impacts
12,12,12,12,12,12,9.88,0,28.45,94,0,133.82999999999998,AUS,0,"(48, 68)",0,1.5,"(48, 68)",25.122063492063496,13,17,3,1,4860,4,1,-32.877936507936504,"[13.122063492063496, 37.122063492063496]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.122063492063496 and 37.122063492063496%,Minor Impacts
13,13,13,13,13,13,10.32,0,28.9,168,0,217.72,PDX,0,"(80, 100)",0,10.5,"(80, 100)",34.92555555555555,14,17,7,8,1175,15,1,-69.07444444444445,"[22.925555555555547, 46.92555555555555]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 22.925555555555547 and 46.92555555555555%,Minor Impacts
14,14,14,14,14,14,0.0,0,19.666666666666668,40,0,59.66666666666667,BNA,0,"(7, 27)",0,0.0,"(7, 27)",19.48444444444445,15,17,2,2,676,4,1,2.484444444444444,"[7.484444444444449, 31.48444444444445]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.484444444444449 and 31.48444444444445%,No Impacts
15,15,15,15,15,15,0.0,0,77.30000000000001,0,0,113.3,SAN,0,"(37, 57)",0,36.0,"(37, 57)",12.318348968105065,16,17,0,0,0,0,1,-34.68165103189494,"[0.31834896810506486, 24.318348968105063]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Signifcant Arrival Delays,No Impacts,Predicted Departure Delays Between 0.31834896810506486 and 24.318348968105063%,No Impacts
16,16,16,16,16,16,0.0,0,29.3,46,0,75.3,TPA,0,"(16, 36)",0,0.0,"(16, 36)",21.091394901394903,17,17,2,1,878,3,1,-4.908605098605098,"[9.091394901394903, 33.09139490139491]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 9.091394901394903 and 33.09139490139491%,No Impacts
17,17,17,17,17,17,0.0,0,0.0,35,0,35.0,BWI,0,"(0, 20)",0,0.0,"(0, 20)",18.39333333333333,18,17,0,2,418,2,1,14.393333333333333,"[6.393333333333331, 30.39333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 6.393333333333331 and 30.39333333333333%,No Impacts
18,18,18,18,18,18,0.0,0,0.0,85,0,85.0,PHL,0,"(21, 41)",0,0.0,"(21, 41)",8.818810356310358,19,17,2,4,623,6,1,-22.18118964368964,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0 and 24%,No Impacts
19,19,19,19,19,19,0.0,0,67.35,0,0,77.85,SLC,0,"(17, 37)",0,10.5,"(17, 37)",16.484379084967323,20,17,0,0,0,0,1,-10.515620915032676,"[4.484379084967323, 28.484379084967323]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 4.484379084967323 and 28.484379084967323%,No Impacts
20,20,20,20,20,20,12.560000000000002,0,15.85,55,0,84.91,DTW,0,"(21, 41)",0,1.5,"(21, 41)",14.150546768046771,21,17,1,3,542,4,1,-16.849453231953227,"[2.1505467680467714, 26.150546768046773]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 2.1505467680467714 and 26.150546768046773%,Minor Impacts
21,21,21,21,21,21,0.0,0,23.3,55,0,81.3,MSP,0,"(19, 39)",0,3.0,"(19, 39)",22.021689514189514,22,17,5,2,837,7,1,-6.978310485810486,"[10.021689514189514, 34.02168951418952]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.021689514189514 and 34.02168951418952%,No Impacts
22,22,22,22,22,22,0.0,0,51.16666666666667,195,0,255.16666666666669,SFO,0,"(80, 100)",0,9.0,"(80, 100)",31.33666666666668,23,17,8,7,859,15,1,-93.66333333333333,"[19.336666666666677, 43.33666666666667]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 19.336666666666677 and 43.33666666666667%,No Impacts
23,23,23,23,23,23,0.0,0,37.65,109,0,148.9,IAH,0,"(56, 76)",0,2.25,"(56, 76)",24.269523809523804,24,17,3,2,2819,5,1,-41.7304761904762,"[12.269523809523804, 36.269523809523804]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.269523809523804 and 36.269523809523804%,No Impacts
24,24,24,24,24,24,15.054545454545458,0,52.05,157,0,236.10454545454547,SEA,0,"(80, 100)",0,12.0,"(80, 100)",25.67,25,17,8,7,859,15,1,-88.33,"[13.670000000000002, 37.67]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.670000000000002 and 37.67%,Minor Impacts
25,25,25,25,25,25,0.0,0,92.05,0,0,108.85,PHX,0,"(34, 54)",0,16.8,"(34, 54)",15.239855796753575,26,17,0,0,0,0,1,-28.760144203246423,"[3.2398557967535755, 27.239855796753574]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 3.2398557967535755 and 27.239855796753574%,No Impacts
26,26,26,26,26,26,0.0,0,50.66666666666667,0,0,62.66666666666667,LAS,0,"(9, 29)",0,12.0,"(9, 29)",13.189931972789116,27,17,0,0,0,0,1,-5.8100680272108844,"[1.1899319727891164, 25.189931972789118]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 1.1899319727891164 and 25.189931972789118%,No Impacts
