,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,170,0,245.1964381206182,JFK,1,"(80, 100)",59.44643812061822,15.75,"(80, 100)",22.430158730158723,1,21,10,6,602,16,2,-96.56984126984128,"[10.430158730158723, 34.43015873015872]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.430158730158723 and 34.43015873015872%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,107,0,163.28167090820335,IAD,1,"(64, 84)",47.28167090820335,9.0,"(64, 84)",23.925079365079355,2,21,4,4,1407,8,2,-50.074920634920645,"[11.925079365079355, 35.925079365079355]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 11.925079365079355 and 35.925079365079355%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,140,0,172.10008657030562,MIA,1,"(69, 89)",17.850086570305635,14.25,"(69, 89)",23.4968253968254,3,21,0,7,148,7,2,-55.50317460317461,"[11.496825396825397, 35.4968253968254]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Minimal Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 11.496825396825397 and 35.4968253968254%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,125,0,190.84113640389205,DCA,1,"(79, 99)",50.84113640389207,15.0,"(79, 99)",23.45126984126984,4,21,4,4,1613,8,2,-65.54873015873017,"[11.451269841269838, 35.451269841269834]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 11.451269841269838 and 35.451269841269834%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,0,0,46.14402727717078,MCO,1,"(0, 20)",19.89402727717078,26.25,"(0, 20)",35.86666666666667,5,21,0,0,0,0,2,25.866666666666667,"[23.866666666666667, 47.86666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Minimal Impacts,Elevated Arrival Delays,No Impacts,Predicted Departure Delays Between 23.866666666666667 and 47.86666666666667%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,133,0,160.05380716678417,DFW,1,"(63, 83)",12.053807166784171,15.0,"(63, 83)",15.914920634920634,6,21,3,4,2483,7,2,-57.085079365079366,"[3.914920634920634, 27.914920634920634]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Minimal Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 3.914920634920634 and 27.914920634920634%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,50,0,85.8677939768898,ORD,0,"(22, 42)",21.72493683403266,14.142857142857144,"(22, 42)",14.115409867909865,7,21,4,2,280,6,2,-17.884590132090135,"[2.1154098679098645, 26.115409867909865]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 2.1154098679098645 and 26.115409867909865%,No Impacts
7,7,7,7,7,7,2.55,0,0.0,153,0,223.8824450754749,BOS,0,"(80, 100)",47.33244507547487,21.0,"(80, 100)",16.075555555555553,8,21,3,6,2018,9,2,-91.92444444444445,"[4.075555555555553, 28.075555555555553]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 4.075555555555553 and 28.075555555555553%,
8,8,8,8,8,8,2.053333333333333,0,0.0,134,0,175.83444460217922,PIT,1,"(71, 91)",33.78111126884588,6.0,"(71, 91)",25.270158730158727,9,21,0,7,148,7,2,-55.72984126984127,"[13.270158730158727, 37.27015873015873]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.270158730158727 and 37.27015873015873%,
9,9,9,9,9,9,0.0,0,0.0,5,0,58.37954070441916,ATL,0,"(7, 27)",21.12954070441916,32.25,"(7, 27)",23.6,10,21,1,0,183,1,2,6.6,"[11.600000000000001, 35.6]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Elevated Arrival Delays,0,Predicted Departure Delays Between 11.600000000000001 and 35.6%,No Impacts
