,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,75,0,88.5,JFK,1,"(23, 43)",0,13.5,"(23, 43)",37.84185185185185,1,3,3,4,1455,7,2,4.841851851851851,"[25.84185185185185, 49.84185185185185]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 25.84185185185185 and 49.84185185185185%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,35,0,41.0,IAD,1,"(0, 20)",0,6.0,"(0, 20)",27.89,2,3,1,2,234,3,2,20.89,"[15.89, 39.89]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 15.89 and 39.89%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,0,0,3.75,MIA,1,"(0, 20)",0,3.75,"(0, 20)",23.236666666666665,3,3,0,0,0,0,2,35.236666666666665,"[11.236666666666665, 35.236666666666665]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,No Impacts,Predicted Departure Delays Between 11.236666666666665 and 35.236666666666665%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,35,0,40.0,DCA,1,"(0, 20)",0,5.0,"(0, 20)",42.77666666666666,4,3,1,2,324,3,2,35.776666666666664,"[30.776666666666657, 54.77666666666666]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 30.776666666666657 and 54.77666666666666%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,32,0,38.75,MCO,0,"(0, 20)",0,6.75,"(0, 20)",50.01,5,3,4,0,186,4,2,44.01,"[38.01, 62.01]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 38.01 and 62.01%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,73,0,81.5,DFW,1,"(19, 39)",0,8.5,"(19, 39)",34.5840984940985,6,3,2,1,9024,3,2,5.584098494098496,"[22.584098494098498, 46.5840984940985]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 22.584098494098498 and 46.5840984940985%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,40,0,48.142857142857146,ORD,1,"(1, 21)",0,8.142857142857144,"(1, 21)",19.54,7,3,2,2,116,4,2,8.54,"[7.539999999999999, 31.54]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.539999999999999 and 31.54%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,70,0,79.0,BOS,0,"(18, 38)",0,9.0,"(18, 38)",18.70771765271765,8,3,8,2,365,10,2,-9.292282347282349,"[6.707717652717651, 30.70771765271765]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.707717652717651 and 30.70771765271765%,No Impacts
8,8,8,8,8,8,2.7466666666666666,0,0.0,0,0,4.746666666666666,PIT,1,"(0, 20)",0,2.0,"(0, 20)",13.243333333333332,9,3,0,0,0,0,2,25.24333333333333,"[1.2433333333333323, 25.243333333333332]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,No Impacts,Predicted Departure Delays Between 1.2433333333333323 and 25.243333333333332%,
9,9,9,9,9,9,0.0,0,0.0,5,0,16.25,ATL,0,"(0, 20)",0,11.25,"(0, 20)",14.893333333333334,10,3,1,0,123,1,2,20.89333333333333,"[2.8933333333333344, 26.893333333333334]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,0,Predicted Departure Delays Between 2.8933333333333344 and 26.893333333333334%,No Impacts
