,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0,176,0,189.5,JFK,1,"(79, 99)",0,13.5,"(79, 99)",18.91777777777777,1,7,4,4,3008,8,2,-70.08222222222223,"[6.9177777777777685, 30.91777777777777]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.9177777777777685 and 30.91777777777777%,No Impacts
1,1,1,1,1,1,0.0,0,0,80,0,86.75,IAD,1,"(22, 42)",0,6.75,"(22, 42)",26.94732563732564,2,7,1,5,1401,6,2,-5.052674362674366,"[14.947325637325637, 38.94732563732563]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 14.947325637325637 and 38.94732563732563%,No Impacts
2,2,2,2,2,2,0.0,0,0,43,0,48.25,MIA,1,"(1, 21)",0,5.25,"(1, 21)",46.77666666666666,3,7,1,2,399,3,2,35.776666666666664,"[34.77666666666666, 58.77666666666666]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 34.77666666666666 and 58.77666666666666%,No Impacts
3,3,3,3,3,3,0.0,0,0,80,0,85.0,DCA,1,"(21, 41)",0,5.0,"(21, 41)",29.33732563732564,4,7,1,5,1495,6,2,-1.662674362674364,"[17.33732563732564, 41.33732563732564]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 17.33732563732564 and 41.33732563732564%,No Impacts
4,4,4,4,4,4,0.0,0,0,29,0,38.0,MCO,1,"(0, 20)",0,9.0,"(0, 20)",43.73,5,7,2,1,652,3,2,38.73,"[31.729999999999997, 55.73]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 31.729999999999997 and 55.73%,No Impacts
5,5,5,5,5,5,0.0,0,0,73,0,81.5,DFW,1,"(19, 39)",0,8.5,"(19, 39)",32.72095238095238,6,7,2,1,8317,3,2,3.7209523809523817,"[20.720952380952383, 44.72095238095238]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 20.720952380952383 and 44.72095238095238%,No Impacts
6,6,6,6,6,6,0.0,0,0,50,0,58.142857142857146,ORD,1,"(6, 26)",0,8.142857142857144,"(6, 26)",16.663333333333334,7,7,4,2,358,6,2,0.6633333333333333,"[4.663333333333334, 28.663333333333334]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 4.663333333333334 and 28.663333333333334%,No Impacts
7,7,7,7,7,7,0.0,0,0,118,0,128.5,BOS,1,"(45, 65)",0,10.5,"(45, 65)",24.1236507936508,8,7,5,3,5029,8,2,-30.876349206349204,"[12.1236507936508, 36.123650793650796]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.1236507936508 and 36.123650793650796%,No Impacts
8,8,8,8,8,8,0.0,0,0,35,0,37.0,PIT,1,"(0, 20)",0,2.0,"(0, 20)",18.31,9,7,1,2,399,3,2,13.31,"[6.309999999999999, 30.31]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 6.309999999999999 and 30.31%,No Impacts
9,9,9,9,9,9,0.0,0,0,60,0,72.75,ATL,1,"(15, 35)",0,12.75,"(15, 35)",11.7965059015059,10,7,3,3,126,6,2,-13.2034940984941,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0 and 24%,No Impacts
10,10,10,10,10,10,0.0,0,0,25,0,28.0,JAX,1,"(0, 20)",0,3.0,"(0, 20)",9.733333333333333,11,7,2,1,690,3,2,9.733333333333333,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 0 and 24%,No Impacts
