,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,95,0,104.75,JFK,0,"(32, 52)",0,9.75,"(32, 52)",27.82480667480668,1,1,2,5,746,7,2,-14.17519332519332,"[15.82480667480668, 39.82480667480668]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 15.82480667480668 and 39.82480667480668%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,5,0,9.5,IAD,0,"(0, 20)",0,4.5,"(0, 20)",26.67666666666667,2,1,1,0,215,1,2,35.67666666666667,"[14.67666666666667, 38.67666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,0,Predicted Departure Delays Between 14.67666666666667 and 38.67666666666667%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,0,0,3.75,MIA,1,"(0, 20)",0,3.75,"(0, 20)",23.136666666666663,3,1,0,0,0,0,2,35.13666666666666,"[11.136666666666663, 35.13666666666666]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,No Impacts,Predicted Departure Delays Between 11.136666666666663 and 35.13666666666666%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,0,0,4.0,DCA,1,"(0, 20)",0,4.0,"(0, 20)",23.14,4,1,0,0,0,0,2,35.14,"[11.14, 35.14]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,No Impacts,Predicted Departure Delays Between 11.14 and 35.14%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,0,0,6.75,MCO,0,"(0, 20)",0,6.75,"(0, 20)",24.020000000000003,5,1,0,0,0,0,2,35.02,"[12.020000000000003, 36.02]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 12.020000000000003 and 36.02%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,68,0,76.0,DFW,1,"(16, 36)",0,7.999999999999999,"(16, 36)",29.857116402116404,6,1,1,1,6628,2,2,3.8571164021164033,"[17.857116402116404, 41.857116402116404]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 17.857116402116404 and 41.857116402116404%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,15,0,22.285714285714285,ORD,0,"(0, 20)",0,7.285714285714285,"(0, 20)",32.71666666666667,7,1,0,1,119,1,2,34.71666666666667,"[20.71666666666667, 44.71666666666667]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 20.71666666666667 and 44.71666666666667%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,85,0,91.0,BOS,1,"(25, 45)",0,6.0,"(25, 45)",20.85308987308988,8,1,3,4,417,7,2,-14.146910126910118,"[8.853089873089878, 32.85308987308988]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 8.853089873089878 and 32.85308987308988%,No Impacts
8,8,8,8,8,8,0.6933333333333334,0,0.0,0,0,2.6933333333333334,PIT,1,"(0, 20)",0,2.0,"(0, 20)",17.563333333333333,9,1,0,0,0,0,2,30.563333333333333,"[5.563333333333333, 29.563333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,No Impacts,Predicted Departure Delays Between 5.563333333333333 and 29.563333333333333%,
9,9,9,9,9,9,0.0,0,0.0,30,0,39.0,ATL,0,"(0, 20)",0,9.0,"(0, 20)",21.416666666666664,10,1,2,1,108,3,2,15.416666666666666,"[9.416666666666664, 33.416666666666664]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 9.416666666666664 and 33.416666666666664%,No Impacts
