,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,22.85,106,0,128.85,JFK,0,"(45, 65)",0,0.0,"(45, 65)",31.161587301587307,1,13,4,4,987,8,1,-23.838412698412693,"[19.161587301587307, 43.1615873015873]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 19.161587301587307 and 43.1615873015873%,No Impacts
1,1,1,1,1,1,0.0,0,10.775,45,0,55.775,IAD,0,"(5, 25)",0,0.0,"(5, 25)",36.96666666666667,2,13,0,3,372,3,1,21.966666666666665,"[24.96666666666667, 48.96666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 24.96666666666667 and 48.96666666666667%,No Impacts
2,2,2,2,2,2,0.0,0,26.375,25,0,51.375,MIA,0,"(3, 23)",0,0.0,"(3, 23)",39.27666666666667,3,13,1,1,352,2,1,26.276666666666667,"[27.27666666666667, 51.27666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 27.27666666666667 and 51.27666666666667%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,35,0,35.0,DCA,0,"(0, 20)",0,0.0,"(0, 20)",50.3,4,13,1,2,386,3,1,46.3,"[38.3, 62.3]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 38.3 and 62.3%,No Impacts
4,4,4,4,4,4,0.0,0,30.725,9,0,39.725,MCO,0,"(0, 20)",0,0.0,"(0, 20)",24.313333333333333,5,13,1,0,1075,1,1,18.313333333333333,"[12.313333333333333, 36.31333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 12.313333333333333 and 36.31333333333333%,No Impacts
5,5,5,5,5,5,0.0,0,22.8,68,0,90.8,DFW,0,"(24, 44)",0,0.0,"(24, 44)",25.46757631257632,6,13,1,1,10606,2,1,-8.53242368742369,"[13.467576312576316, 37.46757631257631]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.467576312576316 and 37.46757631257631%,No Impacts
6,6,6,6,6,6,0.0,0,32.15714285714286,20,0,52.15714285714286,ORD,0,"(3, 23)",0,0.0,"(3, 23)",19.43,7,13,1,1,390,2,1,6.43,"[7.43, 31.43]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 7.43 and 31.43%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,108,0,108.0,BOS,1,"(34, 54)",0,0.0,"(34, 54)",18.70431013431013,8,13,4,5,506,9,1,-25.295689865689862,"[6.704310134310131, 30.70431013431013]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.704310134310131 and 30.70431013431013%,No Impacts
8,8,8,8,8,8,2.3866666666666663,0,0.0,20,0,22.386666666666667,PIT,1,"(0, 20)",0,0.0,"(0, 20)",10.296666666666669,9,13,1,1,352,2,1,12.296666666666669,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 0 and 24%,
9,9,9,9,9,9,0.0,0,62.425,33,0,95.425,ATL,0,"(27, 47)",0,0.0,"(27, 47)",18.54666083916083,10,13,0,1,1830,1,1,-18.45333916083917,"[6.546660839160829, 30.54666083916083]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 6.546660839160829 and 30.54666083916083%,No Impacts
