,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,234,0,302.05255278319123,JFK,0,"(80, 100)",47.052552783191246,21.0,"(80, 100)",27.22666666666672,1,1,10,8,3079,18,3,-123.77333333333328,"[15.22666666666672, 39.226666666666716]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 15.22666666666672 and 39.226666666666716%,No Impacts
1,1,1,1,1,1,3.03,0,0.0,0,0,73.86716523939046,IAD,0,"(15, 35)",58.83716523939047,12.0,"(15, 35)",26.254640522875818,2,1,0,0,0,0,3,1.2546405228758175,"[14.254640522875818, 38.25464052287582]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 14.254640522875818 and 38.25464052287582%,
2,2,2,2,2,2,0.0,0,0.0,0,0,42.47143237721913,MIA,1,"(0, 20)",22.22143237721913,20.25,"(0, 20)",34.96,3,1,0,0,0,0,3,26.96,"[22.96, 46.96]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Elevated Arrival Delays,No Impacts,Predicted Departure Delays Between 22.96 and 46.96%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,0,0,85.22926179606014,DCA,1,"(21, 41)",66.22926179606014,19.0,"(21, 41)",11.665118291448035,4,1,0,0,0,0,3,-19.334881708551965,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 0 and 24%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,0,0,57.853591097822,MCO,0,"(6, 26)",26.353591097822,31.5,"(6, 26)",28.933333333333334,5,1,0,0,0,0,3,12.933333333333334,"[16.933333333333334, 40.93333333333334]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Elevated Arrival Delays,No Impacts,Predicted Departure Delays Between 16.933333333333334 and 40.93333333333334%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,73,0,105.15847087529124,DFW,1,"(32, 52)",13.658470875291243,18.5,"(32, 52)",25.492617012617018,6,1,2,1,4354,3,3,-16.507382987382982,"[13.492617012617018, 37.49261701261702]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Minimal Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.492617012617018 and 37.49261701261702%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,40,0,82.69074633047346,ORD,0,"(20, 40)",23.83360347333061,18.85714285714285,"(20, 40)",22.076124616124616,7,1,2,2,253,4,3,-7.923875383875384,"[10.076124616124616, 34.076124616124616]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.076124616124616 and 34.076124616124616%,No Impacts
7,7,7,7,7,7,4.640000000000001,0,0.0,146,0,211.02245517018133,BOS,1,"(80, 100)",34.88245517018136,25.5,"(80, 100)",19.243333333333297,8,1,7,5,1763,12,3,-81.7566666666667,"[7.243333333333297, 31.243333333333297]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.243333333333297 and 31.243333333333297%,
8,8,8,8,8,8,0.6933333333333334,0,0.0,0,0,48.50439388816919,PIT,1,"(1, 21)",38.811060554835855,9.0,"(1, 21)",33.21333333333334,9,1,0,0,0,0,3,22.21333333333333,"[21.21333333333334, 45.21333333333334]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 21.21333333333334 and 45.21333333333334%,
9,9,9,9,9,9,0.0,0,0.0,25,0,94.08233170254644,ATL,0,"(26, 46)",28.582331702546444,40.5,"(26, 46)",17.36436896436896,10,1,2,1,241,3,3,-18.63563103563104,"[5.3643689643689605, 29.36436896436896]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Signifcant Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 5.3643689643689605 and 29.36436896436896%,No Impacts
