,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,105,0,105.0,JFK,1,"(32, 52)",0,0.0,"(32, 52)",25.31580863580864,1,15,2,5,897,7,1,-16.684191364191364,"[13.31580863580864, 37.31580863580864]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.31580863580864 and 37.31580863580864%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,20,0,20.0,IAD,0,"(0, 20)",0,0.0,"(0, 20)",22.28333333333333,2,15,1,1,153,2,1,26.28333333333333,"[10.283333333333331, 34.28333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 10.283333333333331 and 34.28333333333333%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,5,0,5.0,MIA,0,"(0, 20)",0,0.0,"(0, 20)",32.346666666666664,3,15,1,0,501,1,1,44.34666666666666,"[20.346666666666664, 44.346666666666664]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,0,Predicted Departure Delays Between 20.346666666666664 and 44.346666666666664%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,20,0,20.0,DCA,1,"(0, 20)",0,0.0,"(0, 20)",39.66666666666666,4,15,1,1,158,2,1,43.66666666666666,"[27.666666666666657, 51.66666666666666]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 27.666666666666657 and 51.66666666666666%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,17,0,17.0,MCO,0,"(0, 20)",0,0.0,"(0, 20)",43.93666666666667,5,15,1,0,1047,1,1,48.93666666666667,"[31.936666666666667, 55.93666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 31.936666666666667 and 55.93666666666667%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,73,0,73.0,DFW,0,"(15, 35)",0,0.0,"(15, 35)",24.229907407407406,6,15,2,1,8288,3,1,-0.7700925925925929,"[12.229907407407406, 36.22990740740741]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.229907407407406 and 36.22990740740741%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,10,0,10.0,ORD,1,"(0, 20)",0,0.0,"(0, 20)",23.22,7,15,2,0,973,2,1,32.22,"[11.219999999999999, 35.22]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 11.219999999999999 and 35.22%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,62,0,62.0,BOS,1,"(9, 29)",0,0.0,"(9, 29)",17.622592592592593,8,15,5,1,1554,6,1,-1.3774074074074074,"[5.622592592592593, 29.622592592592593]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 5.622592592592593 and 29.622592592592593%,No Impacts
8,8,8,8,8,8,3.3600000000000003,0,0.0,5,0,8.36,PIT,1,"(0, 20)",0,0.0,"(0, 20)",4.386666666666667,9,15,1,0,501,1,1,14.386666666666668,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,0,Predicted Departure Delays Between 0 and 24%,
9,9,9,9,9,9,0.0,0,0.0,33,0,33.0,ATL,0,"(0, 20)",0,0.0,"(0, 20)",21.39666666666667,10,15,0,1,1656,1,1,18.39666666666667,"[9.396666666666668, 33.39666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 9.396666666666668 and 33.39666666666667%,No Impacts
10,10,10,10,10,10,0.0,0,0.0,5,0,5.0,JAX,1,"(0, 20)",0,0.0,"(0, 20)",8.393333333333334,11,15,1,0,1210,1,1,20.39333333333333,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,0,Predicted Departure Delays Between 0 and 24%,No Impacts
11,11,11,11,11,11,0.0,0,0.0,25,0,25.0,STL,1,"(0, 20)",0,0.0,"(0, 20)",13.676666666666666,12,15,2,1,1497,3,1,14.676666666666666,"[1.6766666666666659, 25.676666666666666]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,No/Few Arrival Delays,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 1.6766666666666659 and 25.676666666666666%,No Impacts
