,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,140,0,147.5,JFK,1,"(56, 76)",0,7.5,"(56, 76)",32.95079365079364,1,21,6,6,801,12,1,-33.04920634920636,"[20.950793650793642, 44.95079365079364]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 20.950793650793642 and 44.95079365079364%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,60,0,62.25,IAD,1,"(9, 29)",0,2.25,"(9, 29)",43.73194444444445,2,21,1,3,314,4,1,24.731944444444448,"[31.73194444444445, 55.73194444444445]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 31.73194444444445 and 55.73194444444445%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,10,0,12.25,MIA,1,"(0, 20)",0,2.25,"(0, 20)",46.013333333333335,3,21,2,0,361,2,1,54.013333333333335,"[34.013333333333335, 58.013333333333335]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Some T-Storm Impacts,Predicted Departure Delays Between 34.013333333333335 and 58.013333333333335%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,80,0,84.0,DCA,1,"(21, 41)",0,4.0,"(21, 41)",30.31526288526289,4,21,1,4,362,5,1,-0.6847371147371147,"[18.31526288526289, 42.31526288526289]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 18.31526288526289 and 42.31526288526289%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,15,0,18.0,MCO,1,"(0, 20)",0,3.0,"(0, 20)",44.72666666666667,5,21,3,0,732,3,1,49.72666666666667,"[32.72666666666667, 56.72666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Some T-Storm Impacts,Predicted Departure Delays Between 32.72666666666667 and 56.72666666666667%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,50,0,55.0,DFW,1,"(5, 25)",0,5.0,"(5, 25)",21.378888888888888,6,21,4,2,1151,6,1,6.378888888888889,"[9.378888888888888, 33.37888888888889]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 9.378888888888888 and 33.37888888888889%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,25,0,29.285714285714285,ORD,0,"(0, 20)",0,4.285714285714286,"(0, 20)",39.59666666666666,7,21,2,1,265,3,1,38.59666666666666,"[27.596666666666657, 51.59666666666666]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 27.596666666666657 and 51.59666666666666%,No Impacts
7,7,7,7,7,7,2.55,0,0.0,123,0,130.05,BOS,0,"(46, 66)",0,4.5,"(46, 66)",29.76901098901099,8,21,5,5,1430,10,1,-26.23098901098901,"[17.76901098901099, 41.769010989010994]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 17.76901098901099 and 41.769010989010994%,
8,8,8,8,8,8,2.053333333333333,0,0.0,10,0,13.053333333333333,PIT,1,"(0, 20)",0,1.0,"(0, 20)",10.793333333333331,9,21,2,0,361,2,1,17.793333333333333,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Some T-Storm Impacts,Predicted Departure Delays Between 0 and 24%,
9,9,9,9,9,9,0.0,0,0.0,85,0,91.0,ATL,0,"(25, 45)",0,6.0,"(25, 45)",13.37280164280164,10,21,1,4,750,5,1,-21.62719835719836,"[1.3728016428016403, 25.37280164280164]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 1.3728016428016403 and 25.37280164280164%,No Impacts
